exchangeID,publisher,creativeID,click,advertiserID,uid,browser,geo,bidAmount,impTimestamp,date
27,nytimes.com,884927,0,523981,ha1946-c641-131hd-96d637130,Firefox,Washington DC,1.02,2017-11-07T01:22:23.000Z,2017-11-07
24,nfl.com,827384,0,523981,ha1977-b719-530ab-93g393300,Safari,Los Angeles,"",2017-11-05T06:02:34.000Z,2017-11-05
25,hearst.com,850927,0,523981,ha2011-g878-909ge-75h598231,Chrome,Philadelphia,0.25,2017-11-04T16:09:34.000Z,2017-11-04
23,nytimes.com,567733,0,523981,ha2036-f515-565he-59a243232,Safari,San Francisco,0.7499999999999999,2017-11-04T05:54:50.000Z,2017-11-04
14,ebay.com,276845,0,523981,ha2101-d956-269ca-63b926467,Internet Explorer,New York,0.3,2017-11-06T21:18:58.000Z,2017-11-06
48,facebook.com,884733,1,523981,ha2199-a959-952ad-26g333341,Internet Explorer,Denver,0.08,2017-11-02T08:13:48.000Z,2017-11-02
45,hearst.com,131033,0,523981,ha2788-b683-422dc-40b015735,Safari,Other,0.26,2017-11-04T12:32:14.000Z,2017-11-04
40,espn.com,971564,0,523981,ha2873-e688-839cd-14g563243,Chrome,Houston,0.37,2017-11-01T02:31:01.000Z,2017-11-01
37,facebook.com,716349,1,523981,ha2931-e775-529aa-67d601595,Chrome,Houston,0.24,2017-11-01T13:50:13.000Z,2017-11-01
30,vice.com,637922,0,523981,ha2957-c242-974eb-53g286513,Chrome,New York,0.59,2017-11-07T08:33:13.000Z,2017-11-07
42,vice.com,810640,1,523981,ha3247-f988-762cd-77f448066,Firefox,Houston,0.41000000000000003,2017-11-07T07:51:07.000Z,2017-11-07
10,espn.com,615959,0,523981,ha3291-a277-835cb-31d347023,Firefox,Chicago,0.57,2017-11-07T16:39:27.000Z,2017-11-07
2,yahoo.com,647091,0,523981,ha3563-e798-359ed-17a549663,Firefox,San Francisco,1.01,2017-11-06T14:10:13.000Z,2017-11-06
45,yahoo.com,809333,0,523981,ha3831-b665-605dg-01c376189,Chrome,Los Angeles,0.36,2017-11-01T21:55:19.000Z,2017-11-01
19,ebay.com,351705,0,523981,ha3937-a680-056dh-82c087329,Safari,Houston,0.44000000000000006,2017-11-05T07:38:37.000Z,2017-11-05
11,vice.com,803641,0,523981,ha4176-g755-983fe-08f798362,Internet Explorer,Other,0.05,2017-11-01T20:50:53.000Z,2017-11-01
22,yahoo.com,424877,0,523981,ha4520-g996-039ge-61g723460,Safari,New York,0.16999999999999998,2017-11-04T10:04:52.000Z,2017-11-04
30,yahoo.com,896977,0,523981,ha4665-a693-166ba-11d929239,Internet Explorer,Philadelphia,0.49,2017-11-06T23:44:59.000Z,2017-11-06
21,hearst.com,841488,0,523981,ha4802-b579-836ea-76b539540,Chrome,Dallas,0.41000000000000003,2017-11-06T19:27:55.000Z,2017-11-06
48,nytimes.com,994941,0,523981,ha4894-a263-487ca-98g727568,Internet Explorer,Los Angeles,0.39,2017-11-04T22:28:19.000Z,2017-11-04
5,yahoo.com,866499,0,523981,ha5004-f569-895hg-21f703133,Chrome,Dallas,0.23,2017-11-06T01:22:13.000Z,2017-11-06
57,yahoo.com,576377,0,523981,ha5067-d865-395ag-45g582055,Safari,San Francisco,0.16,2017-11-01T11:31:58.000Z,2017-11-01
41,vice.com,473415,0,523981,ha5095-a470-639fc-32h356329,Safari,Los Angeles,0.36,2017-11-05T06:05:40.000Z,2017-11-05
34,yahoo.com,773654,0,523981,ha5115-e761-421dd-85a600972,Internet Explorer,Seattle,0.31,2017-11-04T05:43:39.000Z,2017-11-04
59,hearst.com,650882,0,523981,ha5123-g117-483fd-48a585028,Firefox,Washington DC,0.33,2017-11-04T23:00:55.000Z,2017-11-04
22,yahoo.com,702307,0,523981,ha5148-h646-449fd-36e809126,Chrome,San Francisco,0.47,2017-11-07T07:45:01.000Z,2017-11-07
49,nytimes.com,339848,1,523981,ha5248-e089-459hf-23c392840,Internet Explorer,Houston,0.45,2017-11-04T23:44:11.000Z,2017-11-04
26,facebook.com,557600,0,523981,ha5429-b488-332ac-34h755576,Safari,Chicago,0.74,2017-11-04T01:08:54.000Z,2017-11-04
8,nytimes.com,852429,0,523981,ha5541-a108-866ed-83a174145,Safari,Other,0.37,2017-11-01T15:17:13.000Z,2017-11-01
30,yahoo.com,650078,1,523981,ha5855-c354-919ga-49d305796,Firefox,Houston,0.27,2017-11-04T08:21:22.000Z,2017-11-04
40,facebook.com,312627,0,523981,ha5939-d552-990ab-14a931985,Chrome,Denver,0.79,2017-11-02T02:50:52.000Z,2017-11-02
1,facebook.com,335406,0,523981,ha6145-b065-935fd-92d092284,Chrome,New York,0.44,2017-11-02T16:08:13.000Z,2017-11-02
43,facebook.com,626855,1,523981,ha6165-c572-310bg-24e831909,Safari,San Francisco,0.85,2017-11-04T02:10:46.000Z,2017-11-04
32,facebook.com,235068,0,523981,ha6228-e532-667dc-64e742090,Firefox,Seattle,0.2,2017-11-01T03:59:48.000Z,2017-11-01
11,nytimes.com,401407,1,523981,ha6236-d676-765bc-57f299691,Safari,Washington DC,0.45,2017-11-02T21:46:20.000Z,2017-11-02
43,facebook.com,320510,0,523981,ha6329-e152-574ab-79b577300,Firefox,New York,0.33,2017-11-07T19:40:01.000Z,2017-11-07
46,facebook.com,731439,0,523981,ha6362-g412-226fe-43g846211,Internet Explorer,Seattle,0.08,2017-11-06T19:22:51.000Z,2017-11-06
28,vice.com,256008,0,523981,ha6382-a454-751gc-65e647674,Safari,Houston,0.15,2017-11-04T00:36:56.000Z,2017-11-04
52,nytimes.com,365329,0,523981,ha6491-f612-109cf-71b094815,Firefox,San Francisco,0.35000000000000003,2017-11-05T04:00:36.000Z,2017-11-05
19,espn.com,376967,0,523981,ha6514-b579-132ga-92g558242,Safari,Other,0.54,2017-11-07T17:51:58.000Z,2017-11-07
9,facebook.com,201944,0,523981,ha6528-a345-136dd-06f785931,Firefox,Denver,0.1,2017-11-02T09:51:08.000Z,2017-11-02
19,facebook.com,149771,0,523981,ha6592-b392-708da-37d121028,Internet Explorer,Atlanta,0.21999999999999997,2017-11-04T00:01:41.000Z,2017-11-04
12,hearst.com,925946,0,523981,ha6718-h466-661ec-16g187610,Internet Explorer,Dallas,0.76,2017-11-03T14:14:02.000Z,2017-11-03
10,vice.com,565690,0,523981,ha6732-c209-037bc-33a847476,Internet Explorer,Denver,0.7999999999999999,2017-11-07T09:22:17.000Z,2017-11-07
28,facebook.com,652205,0,523981,ha6896-f414-155ae-08e413357,Safari,Houston,0.91,2017-11-06T05:17:49.000Z,2017-11-06
42,espn.com,144133,0,523981,ha6942-c334-796gg-43a136290,Firefox,Denver,0.09000000000000001,2017-11-03T16:48:51.000Z,2017-11-03
29,yahoo.com,905666,0,523981,ha6959-f784-128hd-16e215730,Firefox,Los Angeles,0.21,2017-11-04T02:55:39.000Z,2017-11-04
22,facebook.com,282282,0,523981,ha7037-d323-536hg-83d399231,Firefox,Other,0.29,2017-11-06T05:05:27.000Z,2017-11-06
37,facebook.com,910244,0,523981,ha7297-b590-457hd-29a997817,Internet Explorer,New York,0.48000000000000004,2017-11-02T20:48:43.000Z,2017-11-02
24,facebook.com,286860,0,523981,ha7651-f826-649dh-23f875177,Firefox,Denver,0.56,2017-11-02T05:32:27.000Z,2017-11-02
31,ebay.com,181287,0,523981,ha7724-g936-575hd-83g857303,Internet Explorer,Seattle,0.15,2017-11-02T22:20:06.000Z,2017-11-02
5,facebook.com,827026,0,523981,ha7805-a940-468ah-61f919051,Firefox,Houston,0.26,2017-11-07T04:16:06.000Z,2017-11-07
36,facebook.com,709956,0,523981,ha7865-b370-661fa-96d905642,Firefox,Philadelphia,1.01,2017-11-05T19:05:59.000Z,2017-11-05
34,facebook.com,514190,0,523981,ha7936-c534-955af-49h731996,Safari,Washington DC,0.5700000000000001,2017-11-02T16:25:33.000Z,2017-11-02
4,ebay.com,253350,0,523981,ha8066-d257-825fc-42g867789,Internet Explorer,Denver,0.49999999999999994,2017-11-05T05:28:44.000Z,2017-11-05
20,facebook.com,990442,0,523981,ha8149-f667-652fh-70d138170,Safari,Washington DC,0.36,2017-11-07T15:01:11.000Z,2017-11-07
1,nytimes.com,771027,0,523981,ha8152-a220-031fg-93d701119,Safari,New York,1.06,2017-11-06T16:00:15.000Z,2017-11-06
7,vice.com,497212,0,523981,ha8371-a919-577ea-71a825978,Safari,Los Angeles,0.95,2017-11-03T16:43:07.000Z,2017-11-03
24,espn.com,206051,0,523981,ha8426-c840-943de-72g542157,Chrome,Atlanta,-0.020000000000000004,2017-11-01T16:37:40.000Z,2017-11-01
23,hearst.com,615527,0,523981,ha8435-a296-823dh-59c738224,Firefox,San Francisco,0.53,2017-11-02T02:37:22.000Z,2017-11-02
6,espn.com,248546,0,523981,ha8505-d346-431ba-16b013931,Safari,Chicago,0.56,2017-11-03T17:47:00.000Z,2017-11-03
3,espn.com,289299,0,523981,ha8534-a552-431hc-70c368410,Chrome,Los Angeles,0.88,2017-11-06T15:17:20.000Z,2017-11-06
27,yahoo.com,206378,0,523981,ha8544-a442-479cf-40c083794,Firefox,Washington DC,0.22,2017-11-03T01:40:12.000Z,2017-11-03
11,facebook.com,444511,0,523981,ha8595-g028-437ca-58e846458,Chrome,Denver,0.47,2017-11-01T20:55:56.000Z,2017-11-01
32,espn.com,612238,0,523981,ha8729-a911-181dg-03c855891,Firefox,Chicago,0.51,2017-11-01T21:09:21.000Z,2017-11-01
28,facebook.com,918604,1,523981,ha9057-g152-359eb-56d680553,Safari,Philadelphia,0.22000000000000003,2017-11-06T18:13:32.000Z,2017-11-06
27,vice.com,479517,0,523981,ha9170-e595-001eb-16a947982,Firefox,Washington DC,0.71,2017-11-01T21:21:35.000Z,2017-11-01
11,espn.com,270578,1,523981,ha9526-c049-392ha-92b045112,Internet Explorer,Denver,0.76,2017-11-01T08:21:10.000Z,2017-11-01
39,ebay.com,194153,1,523981,ha9606-a126-414eh-50h517048,Internet Explorer,Los Angeles,0.9299999999999999,2017-11-04T13:46:06.000Z,2017-11-04
14,nytimes.com,209141,0,523981,ha9947-d341-627ad-72g977735,Safari,Other,0.31,2017-11-01T14:39:23.000Z,2017-11-01
39,cafemom.com,893302,0,523981,hb0016-c321-778dg-56d933152,Internet Explorer,Chicago,0.71,2017-11-05T14:05:04.000Z,2017-11-05
7,vice.com,529135,1,523981,hb0269-c976-666bc-58f954742,Internet Explorer,Philadelphia,0.62,2017-11-05T07:53:51.000Z,2017-11-05
53,facebook.com,188425,0,523981,hb0476-g289-662be-36c062120,Chrome,Dallas,0.56,2017-11-07T17:26:55.000Z,2017-11-07
27,espn.com,523393,0,523981,hb0499-h314-477hc-63a090327,Chrome,Washington DC,0.85,2017-11-02T14:54:33.000Z,2017-11-02
25,nfl.com,706626,0,523981,hb0619-a892-586he-74f078126,Internet Explorer,San Francisco,"",2017-11-07T00:43:04.000Z,2017-11-07
24,facebook.com,237075,1,523981,hb0673-h399-966ge-06c025541,Safari,Atlanta,0.81,2017-11-02T11:01:55.000Z,2017-11-02
23,nytimes.com,927859,0,523981,hb0785-d875-351ca-36h521079,Chrome,New York,0.44,2017-11-07T18:46:45.000Z,2017-11-07
14,vice.com,179753,0,523981,hb0815-a714-164gd-45h698327,Safari,Atlanta,-0.04000000000000001,2017-11-02T05:15:28.000Z,2017-11-02
27,ebay.com,409838,1,523981,hb0974-c495-148hc-52e134348,Internet Explorer,Atlanta,0.060000000000000005,2017-11-02T17:18:35.000Z,2017-11-02
36,ebay.com,171107,0,523981,hb1000-d694-637cc-08f067745,Chrome,Atlanta,0.32,2017-11-07T16:30:07.000Z,2017-11-07
37,espn.com,498958,0,523981,hb1005-c484-772db-08a502652,Chrome,Dallas,0.45,2017-11-06T09:31:13.000Z,2017-11-06
31,nytimes.com,140308,0,523981,hb1109-e447-165da-15c296915,Chrome,Other,1.0,2017-11-06T04:19:50.000Z,2017-11-06
34,espn.com,851429,0,523981,hb1131-b671-558ch-83a445446,Chrome,Houston,0.07,2017-11-06T22:25:42.000Z,2017-11-06
56,ebay.com,361794,0,523981,hb1583-d989-227dc-03g530223,Internet Explorer,Seattle,0.9099999999999999,2017-11-07T22:01:24.000Z,2017-11-07
21,nfl.com,763593,0,523981,hb1664-c514-009bf-52c350990,Chrome,Seattle,"",2017-11-05T03:32:54.000Z,2017-11-05
34,ebay.com,681574,0,523981,hb1765-e365-695df-32c792665,Safari,Atlanta,-0.029999999999999992,2017-11-02T18:34:07.000Z,2017-11-02
21,espn.com,377125,0,523981,hb1973-f755-328aa-78h669343,Chrome,New York,0.8200000000000001,2017-11-03T08:05:15.000Z,2017-11-03
16,hearst.com,154008,0,523981,hb2285-f888-303ea-43a129356,Firefox,Other,0.9199999999999999,2017-11-06T04:57:12.000Z,2017-11-06
60,ebay.com,296222,1,523981,hb2551-a576-685cb-19b137163,Internet Explorer,Washington DC,0.43,2017-11-07T11:08:31.000Z,2017-11-07
38,hearst.com,575872,1,523981,hb2555-f485-085gc-80a436529,Chrome,Atlanta,0.22000000000000003,2017-11-04T19:45:59.000Z,2017-11-04
37,yahoo.com,986733,0,523981,hb2575-e039-931ah-81f164780,Internet Explorer,Houston,0.21,2017-11-01T05:05:34.000Z,2017-11-01
51,yahoo.com,316862,0,523981,hb2693-d592-573ea-32a169174,Chrome,Chicago,0.1,2017-11-04T15:50:29.000Z,2017-11-04
24,hearst.com,675673,0,523981,hb2737-d058-256ba-04d914515,Internet Explorer,Chicago,0.37,2017-11-07T07:59:23.000Z,2017-11-07
51,hearst.com,510037,1,523981,hb2987-f401-304dc-14b068089,Firefox,Denver,0.54,2017-11-03T03:09:56.000Z,2017-11-03
21,hearst.com,631105,1,523981,hb3036-d315-878fa-08f942740,Internet Explorer,Seattle,0.81,2017-11-07T09:52:32.000Z,2017-11-07
35,vice.com,916430,1,523981,hb3071-d100-425fb-21g588651,Internet Explorer,Los Angeles,0.02,2017-11-06T04:57:19.000Z,2017-11-06
23,nytimes.com,950571,0,523981,hb3254-d929-664cf-84h053770,Chrome,Seattle,0.74,2017-11-05T23:21:57.000Z,2017-11-05
38,facebook.com,403246,0,523981,hb3279-e469-549ef-69a701282,Chrome,Denver,0.09,2017-11-05T02:52:07.000Z,2017-11-05
35,facebook.com,415204,1,523981,hb3282-a056-165bh-17f548400,Chrome,Other,0.65,2017-11-07T19:52:33.000Z,2017-11-07
15,facebook.com,726823,0,523981,hb3771-c068-027ch-48h050274,Internet Explorer,Other,0.8200000000000001,2017-11-01T10:44:35.000Z,2017-11-01
12,yahoo.com,361581,0,523981,hb3822-h873-366bb-50g434669,Chrome,Denver,0.26,2017-11-03T17:18:30.000Z,2017-11-03
